title,date,category,info,link
Biden 'plans a dozen executive orders on day one' - RTHK,2021-01-17 HKT 10:51,World News,"Joe Biden's top aide said on Saturday that the incoming US president would sign about a dozen executive orders on his first day in office, as police f...",news.rthk.hk/rthk/en/component/k2/1570834-20210117.htm?archive_date=2021-01-17
Beijing tightens security around late PM's cemetary - RTHK,2021-01-17 HKT 11:11,Greater China,Security was exceptionally tight at a cemetery in Beijing on the sixteenth anniversary of the death of the late reformist leader Zhao Ziyang. Police a...,news.rthk.hk/rthk/en/component/k2/1570837-20210117.htm?archive_date=2021-01-17
Indonesia hunts for survivors as quake toll mounts - RTHK,2021-01-17 HKT 12:16,World News,"The death toll from a powerful earthquake on Indonesia's Sulawesi island has jumped to 56, authorities said Sunday, with thousands left homeless as re...",news.rthk.hk/rthk/en/component/k2/1570841-20210117.htm?archive_date=2021-01-17
Packers and Bills move within a game of Super Bowl - RTHK,2021-01-17 HKT 13:17,Sport,Aaron Rodgers threw for two touchdowns and rushed for another as the Green Bay Packers moved to within one win of the Super Bowl on Saturday with a 32...,news.rthk.hk/rthk/en/component/k2/1570850-20210117.htm?archive_date=2021-01-17
'Jobless rate to hit another record high' - RTHK,2021-01-17 HKT 13:22,Local,"The financial secretary, Paul Chan, said Hong Kong's next round of job statistics – to be released on Tuesday – will show unemployment surpassing a si...",news.rthk.hk/rthk/en/component/k2/1570840-20210117.htm?archive_date=2021-01-17
'Medics to vaccinate elderly at care homes' - RTHK,2021-01-17 HKT 16:01,Local,Executive councillor Lam Ching-choi said the government will deploy medics to give Covid-19 vaccinations at elderly care homes when the inoculation pr...,news.rthk.hk/rthk/en/component/k2/1570856-20210117.htm?archive_date=2021-01-17
More Covid cases emerge from Yau Tsim Mong cluster - RTHK,2021-01-17 HKT 18:30,Local,"Health authorities have reported at least nine more confirmed Covid-19 cases linked to an area in the Yau Tsim Mong district, raising the number of ca...",news.rthk.hk/rthk/en/component/k2/1570869-20210117.htm?archive_date=2021-01-17
Govt offers free Covid tests to delivery workers - RTHK,2021-01-17 HKT 22:24,Local,"The government said late on Sunday that it was offering a one-off free Covid-19 test to delivery workers, including those who deliver food, as fears m...",news.rthk.hk/rthk/en/component/k2/1570895-20210117.htm?archive_date=2021-01-17
Navalny heads back to Russia - RTHK,2021-01-17 HKT 22:47,World News,"Kremlin critic Alexei Navalny took off on a plane bound for Moscow on Sunday for the first time since he was poisoned last summer, despite Russian aut...",news.rthk.hk/rthk/en/component/k2/1570898-20210117.htm?archive_date=2021-01-17
Police detain Navalny on arrival in Moscow - RTHK,2021-01-18 HKT 02:40,World News,Police detained prominent Kremlin critic Alexei Navalny on arrival in Moscow on Sunday after he flew home to Russia from Germany for the first time si...,news.rthk.hk/rthk/en/component/k2/1570908-20210118.htm?archive_date=2021-01-18
Rare Stones goals fuel City in 4-0 win over Palace - RTHK,2021-01-18 HKT 08:25,Sport,Manchester City moved up to second in the English Premier League and within two points of leaders Manchester United as John Stones scored twice in a 4...,news.rthk.hk/rthk/en/component/k2/1570927-20210118.htm?archive_date=2021-01-18
Angus Ng impresses with runner-up finish in Bangkok - RTHK,2021-01-18 HKT 08:40,Sport,Hong Kong's top badminton player Angus Ng has taken a big step towards qualifying for the BWF World Tour Finals after an impressive run at the Thailan...,news.rthk.hk/rthk/en/component/k2/1570930-20210118.htm?archive_date=2021-01-18
Govt urged to test more people in Yau Tsim Mong - RTHK,2021-01-18 HKT 11:24,Local,Calls are mounting for the government to expand the scope of coronavirus tests in part of Yau Ma Tei and Jordan following a surge in infections there....,news.rthk.hk/rthk/en/component/k2/1570945-20210118.htm?archive_date=2021-01-18
China's economy picks up speed in Q4 - RTHK,2021-01-18 HKT 11:40,Finance,"The mainland's economy picked up speed in the fourth quarter, with growth beating expectations as it ended a rough coronavirus-stricken 2020 in remark...",news.rthk.hk/rthk/en/component/k2/1570959-20210118.htm?archive_date=2021-01-18
Most hospital patients left with 'long Covid': study - RTHK,2021-01-18 HKT 12:46,Local,"The government on Monday was urged to offer more support to people who have recovered from Covid-19, after a survey suggested that a majority of those...",news.rthk.hk/rthk/en/component/k2/1570978-20210118.htm?archive_date=2021-01-18
More budget rooms coming at quarantine hotels: govt - RTHK,2021-01-18 HKT 16:01,Local,The government on Monday said people flying into Hong Kong from February 20 will have more low-cost hotel rooms to choose from to spend their 21 days...,news.rthk.hk/rthk/en/component/k2/1571020-20210118.htm?archive_date=2021-01-18
Covid cases in HK hit one-month high - RTHK,2021-01-18 HKT 17:57,Local,"The number of new coronavirus cases in Hong Kong hit a one-month high on Monday, reaching triple figures. Health authorities reported 107 new infectio...",news.rthk.hk/rthk/en/component/k2/1571045-20210118.htm?archive_date=2021-01-18
Experts back use of BioNTech jabs in Hong Kong - RTHK,2021-01-18 HKT 19:05,Local,"The government's advisers on coronavirus vaccines have given their unanimous backing to the BioNTech jabs the administration has bought, paving the wa...",news.rthk.hk/rthk/en/component/k2/1571066-20210118.htm?archive_date=2021-01-18
WHO hits out at 'moral failure' on vaccine-sharing - RTHK,2021-01-18 HKT 22:51,World News,"The world is on the brink of ""catastrophic moral failure"" in sharing Covid-19 vaccines, the head of the World Health Organisation said on Monday, urgi...",news.rthk.hk/rthk/en/component/k2/1571098-20210118.htm?archive_date=2021-01-18
"Norway plays down link between jab, deaths - RTHK",2021-01-19 HKT 02:08,World News,"Norway said on Monday no link had been established between Pfizer-BioNTech's Covid-19 vaccine and post-vaccination deaths in the country, but recommen...",news.rthk.hk/rthk/en/component/k2/1571106-20210119.htm?archive_date=2021-01-19
"Panel: China, WHO too slow on Covid response - RTHK",2021-01-19 HKT 03:50,Greater China,"virus vaccines have given their unanimous 
backing to the BioNTech jabs the administration has bought, paving the way for ...",news.rthk.hk/rthk/en/component/k2/1571111-20210119.htm?archive_date=2021-01-19
Biden stresses unity as Trump plans pardons - RTHK,2021-01-19 HKT 05:53,World News,"On the cusp of becoming US president, Joe Biden pressed on Monday for unity, while President Donald Trump remained secluded in the White House at the...",news.rthk.hk/rthk/en/component/k2/1571120-20210119.htm?archive_date=2021-01-19
Zlatan double puts Milan three points clear of Inter - RTHK,2021-01-19 HKT 08:50,Sport,Zlatan Ibrahimovic scored twice on his first start in two months as AC Milan beat Cagliari 2-0 on Monday to pull ahead of city rivals Inter on top of...,news.rthk.hk/rthk/en/component/k2/1571133-20210119.htm?archive_date=2021-01-19
Mandatory testing to be ramped up in Kowloon - RTHK,2021-01-19 HKT 12:24,Local,"The Chief Executive, Carrie Lam, on Tuesday announced that the government will step up coronavirus testing in Sham Shui Po, Yau Ma Tei and Jordan amid...",news.rthk.hk/rthk/en/component/k2/1571183-20210119.htm?archive_date=2021-01-19
Govt staff to work from home longer - RTHK,2021-01-19 HKT 12:35,Local,The government has extended work-from-home arrangements for its employees in light of the coronavirus outbreak. It announced on Tuesday that staff wil...,news.rthk.hk/rthk/en/component/k2/1571186-20210119.htm?archive_date=2021-01-19
Govt urged to step up infection control before CNY - RTHK,2021-01-19 HKT 12:42,Local,An independent panel said on Monday that Chinese officials could have applied public health measures more forcefully in January to curb the initial Co...,news.rthk.hk/rthk/en/component/k2/1571171-20210119.htm?archive_date=2021-01-19
"Mainland inflows push HSI near 30,000 - RTHK",2021-01-19 HKT 16:55,Finance,"Buying sprees from investors across the border sent Hong Kong shares to their highest levels in 20 months on Tuesday, while sentiment in the region wa...",news.rthk.hk/rthk/en/component/k2/1571210-20210119.htm?archive_date=2021-01-19
Taiwan cancels lantern festival over pandemic - RTHK,2021-01-19 HKT 17:23,Greater China,"Taiwan on Tuesday cancelled a major festival during the upcoming Lunar New Year holiday as it reported four locally transmitted cases of Covid-19, the...",news.rthk.hk/rthk/en/component/k2/1571224-20210119.htm?archive_date=2021-01-19
China's Covid outbreak worst since March 2020 - RTHK,2021-01-19 HKT 17:28,Greater China,"The mainland is battling the worst outbreak of Covid-19 since March 2020, with one province posting a record daily rise in cases, as an independent pa...",news.rthk.hk/rthk/en/component/k2/1571226-20210119.htm?archive_date=2021-01-19
Covid cases flood in from Yau Tsim Mong district - RTHK,2021-01-19 HKT 17:46,Local,Health officials said on Tuesday that more than half of the territory's latest coronavirus infections involve people living in the Yau Tsim Mong area...,news.rthk.hk/rthk/en/component/k2/1571234-20210119.htm?archive_date=2021-01-19
HK's Lunar New Year fairs are back on again - RTHK,2021-01-19 HKT 19:09,Local,"Just a little over a week after the government announced that Hong Kong's traditional Lunar New Year fairs cannot be held this year, they're back on a...",news.rthk.hk/rthk/en/component/k2/1571253-20210119.htm?archive_date=2021-01-19
"US virus deaths pass 400,000 - RTHK",2021-01-20 HKT 04:39,World News,"More than 400,000 people have died from Covid-19 in the United States since the pandemic began, Johns Hopkins University reported on Tuesday, the eve...",news.rthk.hk/rthk/en/component/k2/1571296-20210120.htm?archive_date=2021-01-20
Yellen's stimulus call boosts Wall Street - RTHK,2021-01-20 HKT 06:23,Finance,Wall Street's main indexes rose on Tuesday as US Treasury Secretary nominee Janet Yellen advocated for a hefty fiscal relief package before lawmakers...,news.rthk.hk/rthk/en/component/k2/1571309-20210120.htm?archive_date=2021-01-20
Southampton to face holders Arsenal in FA Cup - RTHK,2021-01-20 HKT 08:44,Sport,"virus cases continue to rise in the densely-populated area of 
South ...",news.rthk.hk/rthk/en/component/k2/1571325-20210120.htm?archive_date=2021-01-20
Beijing steps up Covid-19 measures over outbreak - RTHK,2021-01-20 HKT 11:21,Greater China,"Beijing authorities said on Wednesday that they will investigate all individuals who entered the capital from abroad from December 10, after reporting...",news.rthk.hk/rthk/en/component/k2/1571347-20210120.htm?archive_date=2021-01-20
Taiwan cancels more events as Covid cases rise - RTHK,2021-01-20 HKT 11:35,Greater China,"Taiwan has cancelled or postponed more large-scale events after a rare outbreak of domestically transmitted Covid-19 cases connected to a hospital, wh...",news.rthk.hk/rthk/en/component/k2/1571349-20210120.htm?archive_date=2021-01-20
Govt may further slash crowds at flower markets - RTHK,2021-01-20 HKT 12:16,Local,"A Sham Shui Po district councillor on Wednesday criticised the government's decision to ramp up Covid-19 testing in the area, saying it will only caus...",news.rthk.hk/rthk/en/component/k2/1571341-20210120.htm?archive_date=2021-01-20
Sham Shui Po mandatory tests 'stereotype residents' - RTHK,2021-01-20 HKT 12:45,Local,"On Wednesday's Backchat, the elderly transport subsidy, and the unemployment rate in Hong Kong. The government said it may increase by as much as 50 percent the fare elderly people have to pay on public transport as it seeks to ease pressure on public finances. Earlier last year, the Chief Executive had announced that the HK$2 scheme, which currently applies to people aged 65 or above, would be extended to those aged between 60 and 64. What do you make of the scheme and its implementation? From 9:15am-9:30am, we'll be discussing the latest employment situation with Liberal Party leader Felix Chung as the latest unemployment figures have reached 6.6 percent - the highest in 16 years. Let us know your thoughts, you can leave a message on our Facebook, Backchat on RTHK Radio 3, email us at backchat@rthk.hk or give us a call on 23388266. 8:30-9:15 Elderly transport subsidy 8:30-9:15: Phone Andrew Leung, former Director-General of Social Welfare   8:30-9:00 Phone: Hung Wing-tat, Honorary Fellow of Hong Kong Society of Transportation Studies and Honorary Associate Professor at Hong Kong University Civil Engineering Department 9:15-9:30 Unemployment rate Phone: Felix Chung, Liberal Party leader",news.rthk.hk/rthk/en/component/k2/1571359-20210120.htm?archive_date=2021-01-20
Yau Tsim Mong Covid outbreak 'could last for weeks' - RTHK,2021-01-20 HKT 17:42,Local,"Health officials said on Wednesday it could take up to two weeks before the coronavirus situation in Yau Tsim Mong district stabilises, as the number...",news.rthk.hk/rthk/en/component/k2/1571431-20210120.htm?archive_date=2021-01-20
"Beijing partially locked down, reports UK variant - RTHK",2021-01-20 HKT 18:18,Greater China,"Beijing health officials on Wednesday said two cases of Covid-19 found in the capital were the highly-transmissible UK variant of the virus, as five n...",news.rthk.hk/rthk/en/component/k2/1571440-20210120.htm?archive_date=2021-01-20
"Trump leaves White House, snubs Biden inauguration - RTHK",2021-01-20 HKT 21:56,World News,The government said on Wednesday that it is prepared to further reduce the number of people to be allowed in the Lunar New Year flower markets if the...,news.rthk.hk/rthk/en/component/k2/1571466-20210120.htm?archive_date=2021-01-20
Premier League to start trial of concussion subs - RTHK,2021-01-21 HKT 00:36,Sport,"The Premier League agreed on Wednesday to introduce a trial for permanent concussion substitutes, allowing up to two extra changes per team in a match...",news.rthk.hk/rthk/en/component/k2/1571478-20210121.htm?archive_date=2021-01-21
Joe Biden sworn in as 46th US President - RTHK,2021-01-21 HKT 00:56,World News,"Democrat Joe Biden was sworn in as president of the United States on Wednesday, assuming the helm of a country reeling from deep political divides, a...",news.rthk.hk/rthk/en/component/k2/1571482-20210121.htm?archive_date=2021-01-21
UK virus surge leads to record daily deaths - RTHK,2021-01-21 HKT 01:46,World News,"Some British hospitals resemble a ""war zone"" due to the influx of coronavirus patients in the country's latest wave of the disease, the government's c...",news.rthk.hk/rthk/en/component/k2/1571487-20210121.htm?archive_date=2021-01-21
Pirlo wins first trophy as Juventus lift Super Cup - RTHK,2021-01-21 HKT 08:31,Sport,Andrea Pirlo won his first trophy as a coach on Wednesday as Juventus beat Napoli 2-0 in the Italian Super Cup.,news.rthk.hk/rthk/en/component/k2/1571518-20210121.htm?archive_date=2021-01-21
Beijing hoping vaccines can win hearts of Taiwanese - RTHK,2021-01-21 HKT 11:48,Greater China,"Beijing is touting a state programme that gives Taiwanese on the mainland priority for Covid-19 vaccines, prompting concern within Taiwan's government...",news.rthk.hk/rthk/en/component/k2/1571551-20210121.htm?archive_date=2021-01-21
China to impose virus testing on new year travellers - RTHK,2021-01-21 HKT 12:20,Greater China,"The mainland plans to impose strict Covid testing requirements during the Lunar New Year holiday season, when tens of millions of people are expected...",news.rthk.hk/rthk/en/component/k2/1571562-20210121.htm?archive_date=2021-01-21
'Covid-19 remarks left minorities feeling targeted' - RTHK,2021-01-21 HKT 13:05,Local,"An advocacy group for ethnic minorities said on Thursday that local officials have to be more culturally sensitive, after comments by health authoriti...",news.rthk.hk/rthk/en/component/k2/1571552-20210121.htm?archive_date=2021-01-21
HK people should get China Covid jabs: Wuhan doctor - RTHK,2021-01-21 HKT 13:25,Greater China,A Wuhan doctor who was among the first to be infected with Covid-19 a year ago has called on Hong Kong people to put politics aside and take China-mad...,news.rthk.hk/rthk/en/component/k2/1571553-20210121.htm?archive_date=2021-01-21
Coronavirus patient blasts inaccurate test results - RTHK,2021-01-21 HKT 14:48,Local,"A man who has come down with the coronavirus is urging the authorities to make sure their community testing services are up to standard, saying he and...",news.rthk.hk/rthk/en/component/k2/1571579-20210121.htm?archive_date=2021-01-21
Thai politician says govt silencing him on vaccines - RTHK,2021-01-21 HKT 15:56,World News,"A banned Thai opposition politician, who is facing a criminal complaint of defaming the monarchy, defended on Thursday his criticism of the government...",news.rthk.hk/rthk/en/component/k2/1571589-20210121.htm?archive_date=2021-01-21
Lee Cheuk-yiu stuns Ginting at Thailand Open - RTHK,2021-01-21 HKT 16:08,Sport,"Indonesia's fifth seed Anthony Ginting suffered an unexpected defeat at badminton's Thailand Open on Thursday to Hong Kong's Lee Cheuk-yiu, who moved...",news.rthk.hk/rthk/en/component/k2/1571595-20210121.htm?archive_date=2021-01-21
Rescuers drilling new shafts to free trapped miners - RTHK,2021-01-21 HKT 16:20,Greater China,"Rescuers in China were drilling new shafts on Thursday to reach gold miners who have been trapped underground for 11 days after an explosion, includin...",news.rthk.hk/rthk/en/component/k2/1571600-20210121.htm?archive_date=2021-01-21
China calls for a reset in relations with Washington - RTHK,2021-01-21 HKT 16:38,Greater China,"China on Thursday congratulated President Joe Biden on his inauguration and called for a reset in relations between Beijing and Washington, as the new...",news.rthk.hk/rthk/en/component/k2/1571606-20210121.htm?archive_date=2021-01-21
Officials look into infection at Jordan care home - RTHK,2021-01-21 HKT 17:37,Local,"Health officials said on Wednesday they are investigating how an elderly resident in a small care home in Jordan got infected with Covid-19, despite n...",news.rthk.hk/rthk/en/component/k2/1571619-20210121.htm?archive_date=2021-01-21
"Tam Yiu-chung gets China jab, says he feels fine - RTHK",2021-01-21 HKT 18:03,Local,"Hong Kong's sole delegate to the National People's Congress Standing Committee (NPCSC), Tam Yiu-chung, said on Thursday that he has been vaccinated ag...",news.rthk.hk/rthk/en/component/k2/1571625-20210121.htm?archive_date=2021-01-21
'Covid brings cleaner air but govt not doing enough' - RTHK,2021-01-21 HKT 18:11,Local,"A green group said on Thursday that despite improvements in air quality amid Covid-19 outbreaks last year, pollution levels are still far exceeding th...",news.rthk.hk/rthk/en/component/k2/1571632-20210121.htm?archive_date=2021-01-21
